x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,S_x,S_y,S_z,P,I
5.609549837181038223e+06,-3.840362020638514310e+06,7.715320225580733677e+04,2.634248792743473132e+03,3.966182400347200200e+03,5.993400480715511549e+03,7.128770376885467108e-01,5.342466987009276691e-01,3.026524408006184830e-01,3.388042121063298273e-01,1.288544442551214642e-01,3.317981635487478320e-02,6.288529726432792732e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.202150913109854306e-06,2.431581718590244262e-05,1.008123264520707825e-06,-2.933547526501752434e-01,3.522708686812586198e-01,-8.887340570587501931e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.610866070636357181e+06,-3.838378319642791990e+06,8.014989004541431495e+04,2.630684889367141750e+03,3.968621372389407043e+03,5.993350359530207243e+03,6.874334925176575073e-01,5.588952436673346735e-01,3.109194367864626662e-01,3.440935974402828945e-01,1.301063728748524106e-01,3.137176954999222611e-02,6.063011122007771342e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.453964343880513598e-06,2.447812205637792902e-05,-6.788182033565460578e-07,-2.686817942337881848e-01,3.025516934254195434e-01,-9.144793962975454882e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.612180521931331605e+06,-3.836393399476343766e+06,8.314655229715687165e+04,2.627120151550033825e+03,3.971059083121520871e+03,5.993298329261000617e+03,6.612248875050323882e-01,5.829725588780676482e-01,3.188898829835676296e-01,3.481865681927459599e-01,1.312946037511653341e-01,2.967443795604434928e-02,5.831510480041997985e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.704487729093695947e-06,2.450043692993237883e-05,-2.371150962938667561e-06,-2.463346923020410806e-01,2.497015992581388955e-01,-9.364658726811065925e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.613493190649023280e+06,-3.834407260770018678e+06,8.614318805649786373e+04,2.623554580427331530e+03,3.973495531769228819e+03,5.993244389926603617e+03,6.342930849005109506e-01,6.064131562347551130e-01,3.266023157628473172e-01,3.510929986928550406e-01,1.324206982663231336e-01,2.809115687364138053e-02,5.594527474004425821e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.961487546487811221e-06,2.438237945239295988e-05,-4.060375324344711888e-06,-2.263309240496817476e-01,1.940888324675920373e-01,-9.545175943533907859e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.614804076373063959e+06,-3.832419904155052733e+06,8.913979636890662368e+04,2.619988177129150699e+03,3.975930717548650591e+03,5.993188541532699674e+03,6.066794314138154176e-01,6.291527321240709680e-01,3.340941768403815626e-01,3.528285534952841918e-01,1.334862443438946389e-01,2.662493507933863177e-02,5.352545481026654839e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.231995198150886770e-06,2.412457105240080904e-05,-5.737750854121848401e-06,-2.086502071882195830e-01,1.360947202718154614e-01,-9.684747380053077004e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.616113178687646054e+06,-3.830431330263076816e+06,9.213637627985657309e+04,2.616420942789513447e+03,3.978364639683083624e+03,5.993130784094862065e+03,5.784246645356263539e-01,6.511283619696188740e-01,3.414014966274796503e-01,3.534144617812436384e-01,1.344928223631729758e-01,2.527846823570167878e-02,5.106030614054440919e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.522230473916694116e-06,2.372859954558261770e-05,-7.394353886866541489e-06,-1.932368041052210939e-01,7.611057038139078246e-02,-9.781956443449438821e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.617420497177536599e+06,-3.828441539726105984e+06,9.513292683483114524e+04,2.612852878544860687e+03,3.980797297400264142e+03,5.993071117634792245e+03,5.495688385474880588e-01,6.722786826306380581e-01,3.485585956106730943e-01,3.528772732890205210e-01,1.354419731455017983e-01,2.405415299519321481e-02,4.855431140245308058e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.375406774510667380e-07,2.319697757124878295e-05,-9.021140038560859992e-06,-1.800022919611773964e-01,1.453474234126153619e-02,-9.835588015740575063e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.618726031428063288e+06,-3.826450533176541328e+06,9.812944707932470192e+04,2.609283985531903909e+03,3.983228689928356289e+03,5.993009542174829221e+03,5.201512696025257787e-01,6.925440636011971351e-01,3.555978044616650569e-01,3.512485988066930132e-01,1.363351677373113857e-01,2.295410172355543538e-02,4.601177271143314096e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.823557298330098584e-07,2.253309804967274692e-05,-1.060901085940582374e-05,-1.688287403612051818e-01,-4.823009738975451988e-02,-9.844646840460167247e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.620029781025127508e+06,-3.824458311247170437e+06,1.011259360588430864e+05,2.605714264887619265e+03,3.985658816495941210e+03,5.992946057737936826e+03,4.902104990862951595e-01,7.118667680582854151e-01,3.625492033427455962e-01,3.485648379790443063e-01,1.371737792875396822e-01,2.198015729495932796e-02,4.343681297174534217e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.398406683021198582e-07,2.174118770830199031e-05,-1.214888371096760580e-05,-1.595722356618104742e-01,-1.117795320519480995e-01,-9.808374166089602886e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.621331745555200614e+06,-3.822464874571167398e+06,1.041223928189037251e+05,2.602143717749238021e+03,3.988087676331998409e+03,5.992880664347676429e+03,4.597842743140445609e-01,7.301911049098988027e-01,3.694403806764360865e-01,3.448668968306738969e-01,1.379590571489433815e-01,2.113390754429862392e-02,4.083338038590169500e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.026523946483093466e-06,2.082625956848001172e-05,-1.363176392122538230e-05,-1.520666903751270727e-01,-1.757097653079630062e-01,-9.726262386208670563e-01,0.000000000000000000e+00,0.000000000000000000e+00
