x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,q_e_norm
5.609496329717091285e+06,-3.840371695697654039e+06,7.716307773282703420e+04,2.633309324355463104e+03,3.966052314223720714e+03,5.993957863957900372e+03,7.138856429365439960e-01,5.280226573407545976e-01,3.093773384160468654e-01,3.411238570652310176e-01,1.265366766456523795e-01,3.223560431374701551e-02,6.446738366827946265e-02,1.667300349895873700e-04,1.472833477005727396e-04,1.246729796934175046e-05,-7.042047571592398964e-05,-5.968857477592257666e-06,2.397331889094932424e-05,2.675411027798651398e-06,-2.150501322497611056e-04
5.610812086789605208e+06,-3.838388055186926853e+06,8.016004415875440463e+04,2.629718825351615124e+03,3.968509517089896690e+03,5.993907520072614716e+03,6.884422950214746928e-01,5.526876216145070186e-01,3.176234184741099642e-01,3.468259947851959901e-01,1.282216000257445088e-01,3.335123561173156115e-02,6.402052069388329547e-02,2.995648082947221160e-05,-7.851146060760340372e-05,-1.548001331215030196e-04,-1.643994332501832567e-04,-5.224933665131979786e-06,2.435072554749943613e-05,1.106614314922634409e-06,-2.486728312476316205e-04
5.612126048402189277e+06,-3.836403186392215546e+06,8.315698493322586000e+04,2.626127484838055807e+03,3.970965450032861554e+03,5.993855258136977682e+03,6.619639483764960808e-01,5.770696458087620773e-01,3.252902347307378150e-01,3.516315747597432706e-01,1.300542680014126484e-01,3.147977982223551519e-02,6.390473674806722293e-02,-2.121695737349375778e-04,-1.780030325023883775e-04,-9.216843832330979321e-05,8.872803050470165118e-05,-4.457350277754343646e-06,2.444590707951853659e-05,-6.926495109067560437e-07,-2.879615384181466453e-04
5.613438214134380221e+06,-3.834417089948677458e+06,8.615389909722037555e+04,2.622535303964014020e+03,3.973420112266716842e+03,5.993801078167714877e+03,6.346304891871654696e-01,6.006873330423357915e-01,3.336634788526527395e-01,3.547278568101734919e-01,1.332098942617585824e-01,3.159065938079295283e-02,5.795580770914408181e-02,5.208230778170318682e-05,-5.138169142880522376e-05,3.847674703638021991e-05,2.067708441260698591e-05,-3.684692584580152610e-06,2.443310907051227704e-05,-2.276297768207923372e-06,-3.241641450255627888e-04
5.614748583566281945e+06,-3.832429766491862480e+06,8.915078569172541029e+04,2.618942283878987837e+03,3.975873503005971543e+03,5.993744980182163090e+03,6.070022474148398794e-01,6.236211532045442540e-01,3.415117140390048767e-01,3.561488618306003495e-01,1.336641988488739552e-01,2.759832836291263580e-02,5.447067773466395674e-02,8.330287442739096545e-05,-3.724787448607327385e-05,-7.794238253599148345e-05,2.425063328693984933e-05,-2.917792970478477005e-06,2.435376268141761278e-05,-4.091415511439634194e-06,-3.652934094375837049e-04
5.616057156278578565e+06,-3.830441216657714918e+06,9.214764375773734355e+04,2.615348425732744090e+03,3.978325621465538916e+03,5.993686964198269379e+03,5.787243159327692954e-01,6.459213614065312248e-01,3.486995614227075269e-01,3.566329616273584691e-01,1.340750628769997732e-01,2.544846631529551137e-02,5.390158397019380321e-02,-6.730647627796169951e-05,-2.284934312622673958e-05,1.444191157787834661e-04,1.805352919057544224e-05,-2.241829246772611225e-06,2.415786735825030580e-05,-5.699810321078549286e-06,-4.119346458848482939e-04
5.617363931852526963e+06,-3.828451441082571633e+06,9.514447233626160596e+04,2.611753730675316092e+03,3.980776466860742858e+03,5.993627030234601989e+03,5.498516450446514492e-01,6.670348696104527741e-01,3.561875367431651118e-01,3.561793138944223669e-01,1.345906360361529275e-01,2.624195118028927257e-02,5.014966194551404022e-02,1.067050504646955216e-04,-3.205077574265843696e-05,-4.592036640966431566e-05,2.081986404946896218e-05,-1.489734718197890244e-06,2.375172328399089707e-05,-7.401460018682166252e-06,-4.544660212699724866e-04
5.618668909869956784e+06,-3.826460440403160173e+06,9.814127046831305779e+04,2.608158199857006821e+03,3.983226038407311989e+03,5.993565178310341253e+03,5.207049541470402110e-01,6.873542962309779902e-01,3.627458172061057695e-01,3.548586447725349258e-01,1.334780608957553127e-01,2.340821336681348647e-02,4.998157174835858585e-02,-5.710151249097478220e-05,-3.714897264286887206e-05,2.979125608397970853e-05,2.122436147217042653e-04,-8.665939417608336155e-07,2.327243717362263042e-05,-9.084890528914088721e-06,-5.036983603889932937e-04
5.619972089913277887e+06,-3.824468215256600175e+06,1.011380371949163527e+05,2.604561834428386192e+03,3.985674335321384206e+03,5.993501408445278685e+03,4.909357604493467253e-01,7.067647246740732525e-01,3.697013573588345259e-01,3.521127687920177496e-01,1.359151542158337500e-01,2.251072424452479903e-02,4.548760131923089423e-02,4.468521231716077028e-05,3.543041835470297628e-05,-1.461335928700375738e-04,3.244433165852868728e-05,-1.907147706492332148e-07,2.253702517409857220e-05,-1.063339952358408489e-05,-5.532472700400248300e-04
5.621273471565472893e+06,-3.822474766280404292e+06,1.041347715571061563e+05,2.600964635540291965e+03,3.988121356819505309e+03,5.993435720659818799e+03,4.603992345271343822e-01,7.252266333426211631e-01,3.764184019374744450e-01,3.488374691065203037e-01,1.366571039062898507e-01,2.301529273619386598e-02,4.479932554226225688e-02,-1.535747549544075731e-04,-5.420902645807310717e-05,-3.565591977846599328e-05,7.291158131298062866e-05,4.334514153259572880e-07,2.167771901540242624e-05,-1.211028243040214066e-05,-6.050178267626993289e-04
