['time', 'mag_x', 'mag_y', 'mag_z', 'is_eclipsed']
[3.361111111111111, -1.9064077348286988e-05, -3.507157926767741e-05, -1.1442089285167242e-05, 0.0]
[3.363888888888889, -1.915982840507665e-05, -3.492136008489818e-05, -1.2345489188025579e-05, 0.0]
[3.3666666666666667, -1.924648470647653e-05, -3.475031043856234e-05, -1.3240782401420833e-05, 0.0]
[3.3694444444444445, -1.932408781969951e-05, -3.455885973454179e-05, -1.412745694416579e-05, 0.0]
[3.3722222222222222, -1.939268430328333e-05, -3.43474466940636e-05, -1.5005018647551017e-05, 0.0]
[3.375, -1.9452325685584163e-05, -3.411651877911718e-05, -1.5872991026199282e-05, 0.0]
[3.3777777777777778, -1.9503068459224566e-05, -3.386653165996966e-05, -1.6730915157211064e-05, 0.0]
[3.380555555555556, -1.9544974090094662e-05, -3.3597948721123204e-05, -1.757834957337511e-05, 0.0]
[3.3833333333333337, -1.9578109039235267e-05, -3.3311240601439535e-05, -1.8414870175625126e-05, 0.0]
[3.3861111111111115, -1.9602544795679462e-05, -3.30068847636231e-05, -1.9240070169251406e-05, 0.0]
[3.3888888888888893, -1.961835791810212e-05, -3.2685365087800326e-05, -2.0053560027642708e-05, 0.0]
[3.391666666666667, -1.962563008292702e-05, -3.234717148356966e-05, -2.085496748654316e-05, 0.0]
[3.394444444444445, -1.962444813637146e-05, -3.1992799514624524e-05, -2.1643937570977015e-05, 0.0]
[3.3972222222222226, -1.9614904147771876e-05, -3.162275002987831e-05, -2.2420132656130647e-05, 0.0]
[3.4000000000000004, -1.9597095461433824e-05, -3.123752879494791e-05, -2.3183232562602637e-05, 0.0]
[3.402777777777778, -1.957112474418496e-05, -3.0837646117877086e-05, -2.393293468554666e-05, 0.0]
[3.405555555555556, -1.9537100025785133e-05, -3.0423616463110285e-05, -2.4668954156355917e-05, 0.0]
[3.4083333333333337, -1.9495134729360408e-05, -2.9995958047950654e-05, -2.5391024034683946e-05, 0.0]
[3.4111111111111114, -1.9445347689079917e-05, -2.9555192416054214e-05, -2.6098895527774274e-05, 0.0]
[3.413888888888889, -1.9387863152385195e-05, -2.910184398292088e-05, -2.6792338233296572e-05, 0.0]
[3.416666666666667, -1.9322810764209027e-05, -2.8636439548831826e-05, -2.7471140401169388e-05, 0.0]
[3.4194444444444447, -1.9250325530782672e-05, -2.8159507775246403e-05, -2.8135109209195243e-05, 0.0]
[3.4222222222222225, -1.917054776082795e-05, -2.7671578621304096e-05, -2.8784071046760947e-05, 0.0]
[3.4250000000000003, -1.9083622982155907e-05, -2.7173182737762516e-05, -2.9417871800362966e-05, 0.0]
[3.427777777777778, -1.898970183194835e-05, -2.6664850816436002e-05, -3.0036377134315586e-05, 0.0]
[3.430555555555556, -1.8888939919276463e-05, -2.6147112893967794e-05, -3.063947275969465e-05, 0.0]
[3.4333333333333336, -1.878149765870901e-05, -2.56204976095609e-05, -3.1227064684362024e-05, 0.0]
[3.4361111111111113, -1.8667540074176803e-05, -2.5085531417097648e-05, -3.179907943680923e-05, 0.0]
[3.438888888888889, -1.85472365725868e-05, -2.4542737752883625e-05, -3.235546425655595e-05, 0.0]
[3.441666666666667, -1.8420760687012942e-05, -2.3992636161047048e-05, -3.2896187243933024e-05, 0.0]
[3.4444444444444446, -1.828828978962843e-05, -2.3435741379399347e-05, -3.3421237462276206e-05, 0.0]
[3.4472222222222224, -1.8150004774880372e-05, -2.287256238930512e-05, -3.393062498584404e-05, 0.0]
[3.45, -1.8006089713738493e-05, -2.2303601433810872e-05, -3.4424380887151884e-05, 0.0]
[3.452777777777778, -1.785673148017165e-05, -2.1729353008933738e-05, -3.490255715787628e-05, 0.0]
[3.4555555555555557, -1.7702119351314155e-05, -2.1150302833603645e-05, -3.536522655801825e-05, 0.0]
